[#69c5f4b1-ab5e-492c-a106-d5a3445c6baf],
[#868f3357-ea5c-484a-84b9-8fe796f19647],
[#8b28b458-67ef-45a9-b865-6441c5b01b2f],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[322930.88566725195, 4726639.990016623],
[323042.25747258205, 4725857.161088059],
[322532.78247153014, 4725393.297178682],
[322877.0667285387, 4726328.953108432],
[320951.85417407757, 4726539.4146237485],
[323377.89273474086, 4728576.573246886],
[321627.9263001038, 4727860.287775851],
[322328.73618511483, 4728984.296115122],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[323377.8972955496, 4728576.569640693],
[321632.0677948446, 4727836.287152725],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[323377.8972955496, 4728576.569640693],
[321632.0677948446, 4727836.287152725],
[322323.8763293956, 4728982.013092075],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[323377.8972955496, 4728576.569640693],
[321632.0677948446, 4727836.287152725],
[322323.8763293956, 4728982.013092075],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[322877.0667285387, 4726328.953108432],
[320951.2217493697, 4726541.447438608],
[323377.8972955496, 4728576.569640693],
[321632.0677948446, 4727836.287152725],
[322323.8763293956, 4728982.013092075],
[320212.50196773943, 4728772.896460626],
[320181.23169333657, 4728821.688769618],
[320212.50196773943, 4728772.896460626],
[320181.23169333657, 4728821.688769618],
[323083.3718864489, 4726041.4528774],
[321500.79891976813, 4730236.522819688],
[322931.0015830496, 4726640.122262782],
[323042.25668919296, 4725857.167334784],
[322532.82986913633, 4725393.409869802],
[320212.50196773943, 4728772.896460626],
[320181.23169333657, 4728821.688769618],
[323083.3718864489, 4726041.4528774],
